student_id,name,age,grade,email,school_email
38,Paul38,20,C,paul38348@yahoo.com,paul382cs@outlook.com
39,Hannah39,18,A,hannah39791@outlook.com,hannah39c2v@outlook.com
40,Zane40,21,A,zane40746@gmail.com,zane407xv@gmail.com
41,Ian41,24,D,ian41234@outlook.com,ian41dgc@yahoo.com
42,Quincy42,24,C,quincy42506@gmail.com,quincy42wmj@gmail.com
43,Quincy43,25,D,quincy43300@outlook.com,quincy43mxg@example.com
44,Tina44,19,C,tina44702@yahoo.com,tina44m5j@example.com
45,Xander45,23,C,xander45304@school.edu,xander45er0@outlook.com
46,Zane46,25,C,zane46588@school.edu,zane46hx2@outlook.com
47,Eva47,19,D,eva47575@yahoo.com,eva47ncb@outlook.com
48,Leo48,22,B,leo48302@gmail.com,leo48982@outlook.com
49,Uma49,25,A,uma49138@gmail.com,uma49p4v@outlook.com
50,Bob50,22,D,bob50476@school.edu,bob50ygr@gmail.com
51,Karen51,18,A,karen51868@outlook.com,karen51xao@yahoo.com
52,Hannah52,23,A,hannah52672@yahoo.com,hannah527np@outlook.com
53,Bob53,21,C,bob53464@gmail.com,bob53rwm@gmail.com
54,Leo54,18,C,leo54376@gmail.com,leo54jen@yahoo.com
55,Yara55,22,A,yara55326@outlook.com,yara55zan@outlook.com
56,Eva56,19,C,eva56617@school.edu,eva56bp6@example.com
57,Nina57,21,B,nina57583@outlook.com,nina57yyk@gmail.com
58,Eva58,20,A,eva58778@yahoo.com,eva58ure@outlook.com
59,Oscar59,21,B,oscar59430@outlook.com,oscar594f3@outlook.com
60,Yara60,18,B,yara60202@school.edu,yara602cq@example.com
61,Oscar61,23,D,oscar61665@school.edu,oscar6158v@outlook.com
62,Rita62,23,C,rita62123@outlook.com,rita62922@outlook.com
63,Victor63,20,D,victor63606@yahoo.com,victor631dy@gmail.com
64,Xander64,19,D,xander64128@school.edu,xander64qje@outlook.com
65,Hannah65,22,D,hannah65506@school.edu,hannah65ukn@yahoo.com
66,Nina66,25,D,nina66787@gmail.com,nina66s0c@yahoo.com
67,Victor67,18,A,victor67995@outlook.com,victor67d58@outlook.com
68,Karen68,18,A,karen68206@gmail.com,karen68m76@example.com
69,Grace69,18,D,grace69854@yahoo.com,grace696v3@outlook.com
70,Jack70,24,A,jack70664@outlook.com,jack70bru@outlook.com
71,Nina71,23,B,nina71140@gmail.com,nina71svm@example.com
72,Ian72,22,D,ian72352@outlook.com,ian72zpx@example.com
73,Grace73,19,A,grace73194@gmail.com,grace73jyb@yahoo.com
74,Grace74,24,C,grace74943@outlook.com,grace74v1d@gmail.com
75,Quincy75,23,D,quincy75112@school.edu,quincy75qqc@gmail.com
76,Oscar76,19,D,oscar76730@gmail.com,oscar765uk@example.com
77,Grace77,22,D,grace77178@school.edu,grace77s9u@outlook.com
78,Ian78,22,D,ian78228@yahoo.com,ian786us@yahoo.com
79,Xander79,24,C,xander79935@school.edu,xander794kc@example.com
80,Tina80,22,D,tina80300@outlook.com,tina802eb@example.com
81,Wendy81,20,A,wendy81147@school.edu,wendy81v3c@example.com
82,Karen82,23,B,karen82995@gmail.com,karen82lls@outlook.com
83,Leo83,18,C,leo83394@outlook.com,leo83j1t@yahoo.com
84,Bob84,18,A,bob84871@yahoo.com,bob847sx@gmail.com
85,Rita85,18,A,rita85757@school.edu,rita85q83@outlook.com
86,Alice86,21,B,alice86674@school.edu,alice86z0j@gmail.com
87,Sam87,19,C,sam87600@outlook.com,sam87jmd@example.com
88,Wendy88,23,A,wendy88626@outlook.com,wendy88pmo@outlook.com
89,Tina89,21,C,tina89877@yahoo.com,tina89ty6@yahoo.com
90,Zane90,25,D,zane90905@yahoo.com,zane90aw5@outlook.com
91,Tina91,21,D,tina91565@school.edu,tina9183e@example.com
92,Wendy92,19,C,wendy92509@gmail.com,wendy92naj@yahoo.com
93,Quincy93,19,A,quincy93754@gmail.com,quincy93pxp@example.com
94,Eva94,24,C,eva94917@outlook.com,eva94dor@gmail.com
95,Tina95,25,D,tina95115@gmail.com,tina955kq@outlook.com
96,Ian96,25,C,ian96659@gmail.com,ian96qtq@gmail.com
97,Mona97,22,C,mona97589@yahoo.com,mona97gt8@gmail.com
98,Leo98,25,A,leo98916@gmail.com,leo98x0f@outlook.com
99,Bob99,23,C,bob99616@gmail.com,bob9971c@yahoo.com
100,Paul100,19,B,paul100458@outlook.com,paul1000yh@outlook.com
